Survived,Age,Fare,family,Sex_new,child_first_class,Embarked_C,Embarked_Q,Title_Master,Title_Miss,Title_Mrs,Title_Rare,Pclass_1,Pclass_2
0,22.0,2.1102132003465894,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,38.0,4.2805931204649,1,1,0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
1,26.0,2.1888563276657025,0,1,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1,35.0,3.9908341858524357,1,1,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
0,35.0,2.2027647577118348,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,29.69911764705882,2.246892662898172,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0,54.0,3.9676942027986066,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0,2.0,3.0944457464900235,4,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1,27.0,2.495953738718064,2,1,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1,14.0,3.436268471383741,1,1,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
1,4.0,2.8735646395797834,2,1,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1,58.0,3.3160025355989236,0,1,0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
0,20.0,2.2027647577118348,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,39.0,3.4742929367327062,6,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,14.0,2.180891922715322,0,1,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1,55.0,2.833213344056216,0,1,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
0,2.0,3.405355391810819,5,0,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
1,29.69911764705882,2.6390573296152584,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0,31.0,2.9444389791664403,1,1,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1,29.69911764705882,2.1071782966514356,0,1,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0,35.0,3.295836866004329,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,34.0,2.6390573296152584,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,15.0,2.2004637699272855,0,1,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
1,28.0,3.5973122605884456,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0,8.0,3.0944457464900235,4,1,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1,38.0,3.4777725458882283,6,1,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0,29.69911764705882,2.1071782966514356,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,19.0,5.521485797552746,5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1,29.69911764705882,2.1837114628556327,0,1,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0,29.69911764705882,2.1855792552411137,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,40.0,3.357621598945279,0,0,0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
1,29.69911764705882,4.993969182787072,1,1,0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
1,29.69911764705882,2.169053700369523,0,1,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0,66.0,2.4423470353692043,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0,28.0,4.420896324687287,1,0,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0,42.0,3.9702919135521215,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1,29.69911764705882,2.1076888046179385,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,21.0,2.2027647577118348,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,18.0,2.9444389791664403,2,1,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1,14.0,2.5048481563289,1,1,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0,40.0,2.348991465808201,1,1,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0,27.0,3.0910424533583156,1,1,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
0,29.69911764705882,2.1855792552411137,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3.0,3.7513658711253766,3,1,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1,19.0,2.1837114628556327,0,1,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0,29.69911764705882,2.2027647577118348,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,29.69911764705882,2.803360380906535,1,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1,29.69911764705882,2.169053700369523,0,1,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0,29.69911764705882,3.1214482048688246,2,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,18.0,2.9338568698359033,1,1,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0,7.0,3.7059209199687877,5,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0,21.0,2.1747517214841605,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,49.0,4.353230991152628,1,1,0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
1,29.0,3.295836866004329,1,1,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
0,65.0,4.142804513146981,1,0,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1,29.69911764705882,3.5973122605884456,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1,21.0,2.4423470353692043,0,1,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
0,28.5,2.1076888046179385,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,5.0,3.3586377672433594,3,1,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
0,11.0,3.8691155044168695,7,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0,22.0,2.1076888046179385,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,38.0,4.394449154672438,0,1,0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
0,45.0,4.436455632600353,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0,4.0,3.3638415951183864,5,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0,29.69911764705882,3.357621598945279,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1,29.69911764705882,2.787834413830345,2,0,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1,29.0,2.4423470353692043,0,1,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
0,19.0,2.214660571942522,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,17.0,2.1888563276657025,6,1,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0,26.0,2.2682524139135403,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,32.0,2.4423470353692043,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0,16.0,3.8691155044168695,7,1,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0,21.0,4.310799125385514,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0,26.0,2.737880811060884,1,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,32.0,4.051711901657239,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,25.0,2.157559320943788,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,29.69911764705882,2.1855792552411137,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,29.69911764705882,2.2027647577118348,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
